Altitude,Pression,Temperature,Densite
-33.7920,3.00530,235,0.35489
-34.2920,3.04700,236,0.35829
-34.7930,3.08910,237,0.36170
-35.2950,3.13170,238,0.36514
-35.7960,3.17460,239,0.36859
-36.2980,3.21800,240,0.37206
-36.8010,3.26190,241,0.37557
-37.3020,3.30610,242,0.37908
-37.8050,3.35080,243,0.38262
-38.3070,3.39590,244,0.38617
-38.8100,3.44150,245,0.38975
-39.3130,3.48750,246,0.39335
-39.8170,3.53400,247,0.39697
-40.3210,3.58090,248,0.40061
-40.8250,3.62830,249,0.40428
-41.3290,3.67610,250,0.40796
-41.8330,3.72440,251,0.41167
-42.3370,3.77310,252,0.41539
-42.8430,3.82240,253,0.41915
-43.3470,3.87200,254,0.42291
-43.8530,3.92220,255,0.42670
-44.3580,3.97280,256,0.43051
-44.8630,4.02390,257,0.43435
-45.3690,4.07540,258,0.43819
-45.8750,4.12750,259,0.44207
-46.3810,4.18000,260,0.44597
-46.8870,4.23300,261,0.44988
-47.3940,4.28650,262,0.45382
-47.9000,4.34050,263,0.45779
-48.4080,4.39500,264,0.46177
-48.9140,4.44990,265,0.46577
-49.4210,4.50540,266,0.46980
-49.9290,4.56140,267,0.47385
-50.4370,4.61790,268,0.47792
-50.9450,4.67490,269,0.48201
-51.4530,4.73240,270,0.48612
-51.9610,4.79040,271,0.49026
-52.4690,4.84890,272,0.49441
-52.9780,4.90800,273,0.49860
-53.4860,4.96750,274,0.50279
-53.9950,5.02760,275,0.50702
-54.5040,5.08820,276,0.51126
-55.0130,5.14940,277,0.51553
-55.5220,5.21100,278,0.51981
-56.0310,5.27320,279,0.52413
-56.5410,5.33600,280,0.52846
-57.0510,5.39930,281,0.53282
-57.5610,5.46310,282,0.53720
-58.0710,5.52750,283,0.54160
-58.5810,5.59240,284,0.54602
-59.0000,5.65780,285,0.55046
-59.6010,5.72380,286,0.55493
-60.1120,5.79040,287,0.55942
-60.6220,5.85750,288,0.56393
-61.1330,5.92520,289,0.56846
-61.6430,5.99340,290,0.57302
-62.1540,6.06220,291,0.57759
-62.6660,6.13160,292,0.58220
-63.1770,6.20160,293,0.58682
-63.6880,6.27210,294,0.59147
-64.2000,6.34320,295,0.59614
-64.7110,6.41490,296,0.60083
-65.2220,6.48710,297,0.60554
-65.7340,6.56000,298,0.61028
-66.2460,6.63340,299,0.61504
-66.7580,6.70740,300,0.61981
-67.2700,6.78200,301,0.62462
-67.7820,6.85730,302,0.62945
-68.2950,6.93310,303,0.63430
-68.8070,7.00950,304,0.63917
-69.3190,7.08650,305,0.64407
-69.8310,7.16410,306,0.64899
-70.3440,7.24230,307,0.65392
-70.8570,7.32120,308,0.65889
-71.3690,7.40060,309,0.66388
-71.8820,7.48070,310,0.66889
-72.3950,7.56140,311,0.67392
-72.9080,7.64270,312,0.67898
-73.4200,7.72460,313,0.68405
-73.9340,7.80720,314,0.68916
-74.4470,7.89040,315,0.69428
-74.9600,7.97420,316,0.69943
-75.4730,8.05870,317,0.70460
-75.9870,8.14380,318,0.70980
-76.5000,8.22960,319,0.71502
-77.0140,8.31600,320,0.72026
-77.5270,8.40300,321,0.72553
-78.0410,8.49070,322,0.73081
-78.5540,8.57900,323,0.73612
-79.0680,8.66800,324,0.74146
-79.5820,8.75770,325,0.74682
-80.0950,8.84800,326,0.75220
-80.6090,8.93900,327,0.75760
-81.1230,9.03060,328,0.76303
-81.6370,9.12300,329,0.76849
-82.1510,9.21600,330,0.77396
-82.6660,9.30970,331,0.77947
-83.1790,9.40400,332,0.78498
-83.6930,9.49900,333,0.79053
-84.2070,9.59470,334,0.79610
-84.7220,9.69110,335,0.80169
-85.2360,9.78820,336,0.80731
-85.7500,9.88600,337,0.81295
-86.2650,9.98450,338,0.81862
-86.7810,10.08400,339,0.82434
-87.2960,10.18400,340,0.83006
-87.8070,10.28400,341,0.83575
-88.3200,10.38500,342,0.84149
-88.8350,10.48700,343,0.84728
-89.3510,10.59000,344,0.85311
-89.8680,10.69400,345,0.85899
-90.3820,10.79800,346,0.86483
-90.8970,10.90300,347,0.87073
-91.4090,11.00800,348,0.87659
-91.9220,11.11400,349,0.88249
-92.4360,11.22100,350,0.88844
-92.9520,11.32900,351,0.89444
-93.4690,11.43800,352,0.90048
-93.9830,11.54700,353,0.90649
-94.4970,11.65700,354,0.91254
-95.0130,11.76800,355,0.91864
-95.5260,11.87900,356,0.92470
-96.0400,11.99100,357,0.93081
-96.5550,12.10400,358,0.93696
-97.0710,12.21800,359,0.94315
-97.5830,12.33200,360,0.94931
-98.1010,12.44800,361,0.95560
-98.6160,12.56400,362,0.96184
-99.1280,12.68000,363,0.96805
-99.6440,12.79800,364,0.97439
-100.1600,12.91600,365,0.98068
-100.6700,13.03500,366,0.98702
-101.1900,13.15500,367,0.99340
-101.7000,13.27600,368,0.99983
-102.2200,13.39700,369,1.00620
-102.7300,13.51900,370,1.01260
-103.2500,13.64200,371,1.01910
-103.7600,13.76600,372,1.02560
-104.2800,13.89100,373,1.03220
-104.7900,14.01600,374,1.03870
-105.3100,14.14200,375,1.04520
-105.8200,14.26900,376,1.05180
-106.3300,14.39700,377,1.05850
-106.8500,14.52600,378,1.06520
-107.3600,14.65500,379,1.07180
-107.8800,14.78500,380,1.07850
-108.3900,14.91600,381,1.08520
-108.9100,15.04800,382,1.09190
-109.4200,15.18100,383,1.09870
-109.9400,15.31400,384,1.10550
-110.4500,15.44800,385,1.11230
-110.9600,15.58300,386,1.11910
-111.4800,15.72000,387,1.12610
-111.9900,15.85600,388,1.13290
